estrato;perfil_cluster;candidatos_cluster;eleitos_cluster;taxa_cluster;candidatos_estrato;eleitos_estrato;taxa_estrato;indice_vs_estrato;delta_pp;participacao_no_estrato;participacao_eleitos_estrato;patrimonio_mediano_cluster;patrimonio_medio_cluster;qtd_bens_mediana;macros_mediana;concentracao_mediana;classificacao_vs_estrato
02_medio_baixo;Patrimônio médio-baixo - rural/agropecuário + imobiliário;217;9;0.041474654377880185;4186;187;0.044672718585762064;0.928411247196826;-0.3198064207881879;0.051839464882943144;0.0481283422459893;200000.0;200685.28921658985;3.0;2.0;0.5807494104288584;próximo ao estrato
02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;364;13;0.03571428571428571;4186;187;0.044672718585762064;0.7994652406417112;-0.8958432871476352;0.08695652173913043;0.06951871657754011;146256.0;161321.3247802198;2.0;1.0;1.0;abaixo do estrato
02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;1033;19;0.018393030009680542;4186;187;0.044672718585762064;0.4117284685589452;-2.627968857608152;0.2467749641662685;0.10160427807486631;194500.0;197256.29999031944;1.0;1.0;1.0;muito abaixo do estrato
02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;1154;16;0.01386481802426343;4186;187;0.044672718585762064;0.3103643221901964;-3.0807900561498633;0.2756808408982322;0.0855614973262032;195000.0;195996.37364818025;2.0;2.0;0.6818839821728017;muito abaixo do estrato
03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;392;77;0.19642857142857142;4069;395;0.0970754485131482;2.0234629294755875;9.935312291542322;0.09633816662570656;0.1949367088607595;487647.33999999997;504047.4102040817;5.0;3.0;0.688069267639131;muito acima do estrato
03_medio_alto;Patrimônio médio-alto - veicular diversificado;398;74;0.18592964824120603;4069;395;0.0970754485131482;1.9153107308695374;8.885419972805783;0.09781273040058983;0.18734177215189873;426529.66000000003;460285.54462311557;4.0;2.0;0.6700847454378603;muito acima do estrato
03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;620;79;0.12741935483870967;4069;395;0.0970754485131482;1.3125806451612902;3.034390632556147;0.15237159007127057;0.2;476389.54500000004;494649.10104838706;6.0;3.0;0.5589405783759894;acima do estrato
03_medio_alto;Patrimônio médio-alto - rural/agropecuário + imobiliário;410;40;0.0975609756097561;4069;395;0.0970754485131482;1.0050015436863229;0.04855270966079017;0.10076185795035636;0.10126582278481013;500536.52;514070.74702439026;5.0;3.0;0.5017823426088734;próximo ao estrato
03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;427;33;0.07728337236533958;4069;395;0.0970754485131482;0.7961165624166247;-1.979207614780862;0.10493978864585893;0.08354430379746836;496223.99;507629.2087119438;7.0;4.0;0.4751257661582134;abaixo do estrato
03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;670;42;0.0626865671641791;4069;395;0.0970754485131482;0.6457509918760627;-3.43888813489691;0.16465962152863112;0.10632911392405063;457768.575;484557.5167462687;2.0;1.0;1.0;muito abaixo do estrato
03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;1152;50;0.043402777777777776;4069;395;0.0970754485131482;0.4471035513361462;-5.367267073537042;0.2831162447775866;0.12658227848101267;449500.0;473960.7711545139;3.0;2.0;0.7621878715814505;muito abaixo do estrato
04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;474;141;0.2974683544303797;4410;858;0.1945578231292517;1.528945737806497;10.2910531301128;0.10748299319727891;0.16433566433566432;2575782.255;3565676.7642194093;17.0;6.0;0.38270363476407393;muito acima do estrato
04_alto;Alto patrimônio - imobiliário + financeiro;677;155;0.22895125553914328;4410;858;0.1945578231292517;1.1767774323165756;3.4393432409891567;0.15351473922902495;0.18065268065268064;1286471.27;1691100.0954209748;8.0;3.0;0.6016549152147311;acima do estrato
04_alto;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;452;100;0.22123893805309736;4410;858;0.1945578231292517;1.1371371990841017;2.6681114923845644;0.10249433106575964;0.11655011655011654;2042919.275;2952399.237787611;13.0;5.0;0.42426486640019906;acima do estrato
04_alto;Alto patrimônio - imobiliário + societário com societário e financeiro;1060;215;0.2028301886792453;4410;858;0.1945578231292517;1.0425188019527643;0.8272365549993582;0.24036281179138322;0.2505827505827506;1530500.0;2263244.58104717;8.0;4.0;0.5618336071698227;próximo ao estrato
04_alto;Alto patrimônio - imobiliário + rural/agropecuário;636;106;0.16666666666666666;4410;858;0.1945578231292517;0.8566433566433566;-2.789115646258505;0.14421768707482993;0.12354312354312354;1479259.27;2126572.981933962;7.0;3.0;0.5187697815368292;abaixo do estrato
04_alto;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;511;84;0.1643835616438356;4410;858;0.1945578231292517;0.8449085161413927;-3.0174261485416105;0.11587301587301588;0.0979020979020979;1200000.0;1710071.8529354208;4.0;2.0;0.99077284853645;abaixo do estrato
04_alto;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;600;57;0.095;4410;858;0.1945578231292517;0.48828671328671325;-9.955782312925171;0.1360544217687075;0.06643356643356643;1111500.0;1424842.4544666666;4.0;2.0;0.8184013113853942;muito abaixo do estrato
05_ultra_alto;Patrimônio ultra-alto - financeiro + societário;37;13;0.35135135135135137;189;53;0.2804232804232804;1.2529321774604796;7.092807092807096;0.19576719576719576;0.24528301886792453;26512503.48;52298100.17081082;29.0;5.0;0.4487680815328905;acima do estrato
05_ultra_alto;Patrimônio ultra-alto - societário concentrado;57;18;0.3157894736842105;189;53;0.2804232804232804;1.1261171797418073;3.5366193260930103;0.30158730158730157;0.33962264150943394;39694955.43;94583526.76473685;19.0;5.0;0.7481645871634333;acima do estrato
05_ultra_alto;Patrimônio ultra-alto - rural/agropecuário concentrado;46;14;0.30434782608695654;189;53;0.2804232804232804;1.085315832649713;2.392454566367613;0.24338624338624337;0.2641509433962264;21000000.0;26469001.36021739;22.5;5.0;0.5977200345869125;próximo ao estrato
