estrato;DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_estrato_cargo;eleitos_estrato_cargo;taxa_estrato_cargo;indice_vs_estrato_cargo;delta_pp_vs_estrato_cargo;participacao_candidatos_estrato_cargo;participacao_eleitos_estrato_cargo;patrimonio_mediano_cluster_cargo
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;197;57;0.2893401015228426;1811;282;0.15571507454445058;1.85813802786478;13.362502697839204;0.10877967973495306;0.20212765957446807;2756874.93
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - veicular diversificado;214;42;0.19626168224299065;2244;254;0.11319073083778966;1.7339024210758702;8.307095140520099;0.09536541889483066;0.16535433070866143;428637.71499999997
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - veicular concentrado com financeiro e societário;147;5;0.034013605442176874;1935;39;0.020155038759689922;1.687598116169545;1.3858566682486952;0.07596899224806201;0.1282051282051282;50000.0
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;198;74;0.37373737373737376;2114;511;0.24172185430463577;1.546146395461464;13.201551943273799;0.09366130558183539;0.14481409001956946;2086149.1400000001
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - societário concentrado;206;7;0.03398058252427184;3142;72;0.022915340547422024;1.4828748651564185;1.106524197684982;0.06556333545512412;0.09722222222222222;20264.555
04_alto;SENADOR;Alto patrimônio - imobiliário + societário com societário e financeiro;29;7;0.2413793103448276;102;17;0.16666666666666666;1.4482758620689657;7.471264367816094;0.28431372549019607;0.4117647058823529;1751667.0
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;342;55;0.1608187134502924;2244;254;0.11319073083778966;1.4207763503246305;4.762798261250273;0.15240641711229946;0.21653543307086615;473389.20999999996
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - societário concentrado;176;5;0.028409090909090908;1935;39;0.020155038759689922;1.409527972027972;0.8254052149400986;0.09095607235142118;0.1282051282051282;24046.295
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - veicular concentrado com financeiro e societário;252;8;0.031746031746031744;3142;72;0.022915340547422024;1.3853615520282188;0.883069119860972;0.08020369191597708;0.1111111111111111;47524.880000000005
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário + financeiro;274;55;0.20072992700729927;1811;282;0.15571507454445058;1.2890847440078688;4.50148524628487;0.15129762562120375;0.1950354609929078;1349952.395
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;221;68;0.3076923076923077;2114;511;0.24172185430463577;1.2729188619599578;6.5970453387671935;0.10454115421002838;0.13307240704500978;1802344.72
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - imobiliário concentrado;234;6;0.02564102564102564;1935;39;0.020155038759689922;1.272189349112426;0.5485986881335718;0.12093023255813953;0.15384615384615385;61317.79
03_medio_alto;DEPUTADO DISTRITAL;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;42;3;0.07142857142857142;105;6;0.05714285714285714;1.25;1.4285714285714284;0.4;0.5;493750.0
