DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_cargo;eleitos_cargo;taxa_cargo;indice_vs_cargo;delta_pp_vs_cargo;participacao_candidatos_cargo;participacao_eleitos_cargo;patrimonio_mediano_cluster_cargo
DEPUTADO FEDERAL;Baixo patrimônio - imobiliário + veicular;94;2;0.02127659574468085;6772;498;0.0735380980507974;0.289327522857387;-5.226150230611655;0.013880685174246898;0.004016064257028112;71865.555
DEPUTADO ESTADUAL;Baixo patrimônio - dinheiro em espécie concentrado;222;6;0.02702702702702703;10056;975;0.09695704057279236;0.2787525987525988;-6.993001354576533;0.0220763723150358;0.006153846153846154;10000.0
DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;157;3;0.01910828025477707;6772;498;0.0735380980507974;0.25984191543243035;-5.442981779602034;0.023183697578263437;0.006024096385542169;493722.56
DEPUTADO FEDERAL;Patrimônio médio-baixo - veicular concentrado;121;2;0.01652892561983471;6772;498;0.0735380980507974;0.2247668359387965;-5.700917243096269;0.017867690490253985;0.004016064257028112;146612.0
DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;619;13;0.0210016155088853;10056;975;0.09695704057279236;0.21660743134087238;-7.595542506390707;0.06155529037390613;0.013333333333333334;200000.0
DEPUTADO ESTADUAL;Baixo patrimônio - imobiliário concentrado;455;9;0.01978021978021978;10056;975;0.09695704057279236;0.20401014370245138;-7.7176820792572585;0.04524661893396977;0.009230769230769232;60000.0
DEPUTADO FEDERAL;Baixo patrimônio - dinheiro em espécie concentrado;135;2;0.014814814814814815;6772;498;0.0735380980507974;0.20145768258218058;-5.872328323598259;0.01993502658003544;0.004016064257028112;12500.0
DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;384;5;0.013020833333333334;6772;498;0.0735380980507974;0.17706241633199465;-6.051726471746407;0.05670407560543414;0.010040160642570281;194008.09
DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;699;9;0.012875536480686695;10056;975;0.09695704057279236;0.13279630241003632;-8.408150409210567;0.06951073985680191;0.009230769230769232;194000.0
DEPUTADO FEDERAL;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;760;7;0.009210526315789473;6772;498;0.0735380980507974;0.12524836186852673;-6.432757173500793;0.11222681630242173;0.014056224899598393;30792.5
DEPUTADO FEDERAL;Patrimônio médio-baixo - societário + veicular;118;1;0.00847457627118644;6772;498;0.0735380980507974;0.11524062351099312;-6.506352177961096;0.017424689899586534;0.002008032128514056;161307.18
DEPUTADO ESTADUAL;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;1318;14;0.010622154779969651;10056;975;0.09695704057279236;0.10955527022294853;-8.633488579282272;0.13106603023070804;0.014358974358974359;29096.0
DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;354;2;0.005649717514124294;6772;498;0.0735380980507974;0.07682708234066209;-6.788838053667311;0.0522740696987596;0.004016064257028112;191601.04
DEPUTADO DISTRITAL;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;60;0;0.0;394;22;0.05583756345177665;0.0;-5.583756345177665;0.15228426395939088;0.0;38500.0
DEPUTADO DISTRITAL;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;30;0;0.0;394;22;0.05583756345177665;0.0;-5.583756345177665;0.07614213197969544;0.0;219937.66
DEPUTADO FEDERAL;Baixo patrimônio - outros ativos diversificado;109;0;0.0;6772;498;0.0735380980507974;0.0;-7.353809805079741;0.01609568812758417;0.0;275.21
DEPUTADO ESTADUAL;Baixo patrimônio - imobiliário + veicular;193;0;0.0;10056;975;0.09695704057279236;0.0;-9.695704057279237;0.019192521877486077;0.0;75000.0
DEPUTADO ESTADUAL;Baixo patrimônio - outros ativos diversificado;129;0;0.0;10056;975;0.09695704057279236;0.0;-9.695704057279237;0.01282816229116945;0.0;10000.0
