SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
BA;Alto patrimônio - imobiliário + societário com societário e financeiro;32;4;0.125;999;102;0.1021021021021021;1.2242647058823528;2.2897897897897894;0.03203203203203203;0.0392156862745098;1514106.52
RJ;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;51;5;0.09803921568627451;1432;116;0.08100558659217877;1.2102772143340095;1.703362909409574;0.0356145251396648;0.04310344827586207;455613.96
PA;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;32;4;0.125;556;58;0.10431654676258993;1.1982758620689655;2.0683453237410068;0.05755395683453238;0.06896551724137931;477000.0
RR;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;26;3;0.11538461538461539;343;34;0.09912536443148688;1.164027149321267;1.625925095312851;0.07580174927113703;0.08823529411764706;451500.0
RS;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;59;6;0.1016949152542373;975;90;0.09230769230769231;1.1016949152542372;0.9387222946544982;0.06051282051282051;0.06666666666666667;450000.0
MG;Patrimônio médio-alto - rural/agropecuário + imobiliário;46;4;0.08695652173913043;1668;133;0.07973621103117506;1.0905524681268388;0.7220310707955369;0.027577937649880094;0.03007518796992481;501178.125
RJ;Patrimônio médio-baixo - societário + veicular;34;3;0.08823529411764706;1432;116;0.08100558659217877;1.0892494929006087;0.7229707525468296;0.023743016759776536;0.02586206896551724;170000.0
SC;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;37;3;0.08108108108108109;752;56;0.07446808510638298;1.0888030888030888;0.661299597469811;0.04920212765957447;0.05357142857142857;511972.2400000001
PR;Patrimônio médio-baixo - veicular + financeiro;25;2;0.08;1154;86;0.07452339688041594;1.0734883720930233;0.5476603119584061;0.021663778162911613;0.023255813953488372;180454.08
BA;Patrimônio médio-alto - rural/agropecuário + imobiliário;28;3;0.10714285714285714;999;102;0.1021021021021021;1.0493697478991595;0.5040755040755032;0.028028028028028028;0.029411764705882353;435500.0
RO;Alto patrimônio - imobiliário + rural/agropecuário;27;2;0.07407407407407407;454;33;0.07268722466960352;1.0190796857463524;0.13868494044705498;0.05947136563876652;0.06060606060606061;1227080.0
RJ;Baixo patrimônio - dinheiro em espécie concentrado;49;4;0.08163265306122448;1432;116;0.08100558659217877;1.0077410274454608;0.06270664690457145;0.034217877094972066;0.034482758620689655;20000.0
CE;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;26;3;0.11538461538461539;611;71;0.11620294599018004;0.9929577464788732;-0.08183306055646461;0.0425531914893617;0.04225352112676056;507500.0
RJ;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;27;2;0.07407407407407407;1432;116;0.08100558659217877;0.9144316730523627;-0.6931512518104699;0.018854748603351956;0.017241379310344827;210396.99
SP;Patrimônio médio-baixo - imobiliário + veicular;90;5;0.05555555555555555;2528;160;0.06329113924050633;0.8777777777777777;-0.7735583684950781;0.03560126582278481;0.03125;223008.0
PR;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;31;2;0.06451612903225806;1154;86;0.07452339688041594;0.8657164291072769;-1.0007267848157877;0.026863084922010397;0.023255813953488372;1012836.0
MG;Alto patrimônio - imobiliário + rural/agropecuário;73;5;0.0684931506849315;1668;133;0.07973621103117506;0.8589968070862086;-1.124306034624356;0.043764988009592325;0.03759398496240601;1412955.51
SP;Alto patrimônio - imobiliário + rural/agropecuário;56;3;0.05357142857142857;2528;160;0.06329113924050633;0.8464285714285713;-0.9719710669077765;0.022151898734177215;0.01875;1571724.88
RJ;Baixo patrimônio - financeiro concentrado;120;8;0.06666666666666667;1432;116;0.08100558659217877;0.8229885057471265;-1.4338919925512104;0.08379888268156424;0.06896551724137931;5370.15
