perfil_cluster;SG_UF;candidatos_cluster_uf;candidatos_cluster_total;candidatos_uf;perc_cluster_na_uf;perc_uf_no_cluster
Patrimônio médio-alto - rural/agropecuário + imobiliário;CE;10;410;611;0.024390243902439025;0.016366612111292964
Patrimônio médio-alto - rural/agropecuário + imobiliário;SE;10;410;322;0.024390243902439025;0.031055900621118012
Patrimônio médio-alto - rural/agropecuário + imobiliário;MS;8;410;394;0.01951219512195122;0.02030456852791878
Patrimônio médio-alto - rural/agropecuário + imobiliário;PB;8;410;413;0.01951219512195122;0.01937046004842615
Patrimônio médio-alto - rural/agropecuário + imobiliário;AM;7;410;398;0.01707317073170732;0.017587939698492462
Patrimônio médio-alto - rural/agropecuário + imobiliário;AC;5;410;281;0.012195121951219513;0.017793594306049824
Patrimônio médio-alto - rural/agropecuário + imobiliário;AP;5;410;267;0.012195121951219513;0.018726591760299626
Patrimônio médio-alto - rural/agropecuário + imobiliário;AL;3;410;239;0.007317073170731708;0.012552301255230125
Patrimônio médio-alto - rural/agropecuário + imobiliário;RN;3;410;356;0.007317073170731708;0.008426966292134831
Patrimônio médio-alto - rural/agropecuário + imobiliário;PI;1;410;262;0.0024390243902439024;0.003816793893129771
Patrimônio médio-alto - veicular diversificado;SP;49;397;2528;0.12342569269521411;0.019382911392405063
Patrimônio médio-alto - veicular diversificado;RJ;35;397;1432;0.08816120906801007;0.024441340782122904
Patrimônio médio-alto - veicular diversificado;MG;25;397;1668;0.06297229219143577;0.01498800959232614
Patrimônio médio-alto - veicular diversificado;PR;23;397;1154;0.05793450881612091;0.01993067590987868
Patrimônio médio-alto - veicular diversificado;BA;22;397;999;0.055415617128463476;0.022022022022022022
Patrimônio médio-alto - veicular diversificado;GO;20;397;766;0.05037783375314862;0.02610966057441253
Patrimônio médio-alto - veicular diversificado;MA;19;397;575;0.04785894206549118;0.03304347826086956
Patrimônio médio-alto - veicular diversificado;SC;18;397;752;0.04534005037783375;0.023936170212765957
Patrimônio médio-alto - veicular diversificado;DF;17;397;606;0.042821158690176324;0.028052805280528052
Patrimônio médio-alto - veicular diversificado;RS;17;397;975;0.042821158690176324;0.017435897435897435
Patrimônio médio-alto - veicular diversificado;CE;15;397;611;0.037783375314861464;0.024549918166939442
Patrimônio médio-alto - veicular diversificado;RO;15;397;454;0.037783375314861464;0.03303964757709251
Patrimônio médio-alto - veicular diversificado;AM;13;397;398;0.0327455919395466;0.032663316582914576
Patrimônio médio-alto - veicular diversificado;MS;12;397;394;0.030226700251889168;0.030456852791878174
Patrimônio médio-alto - veicular diversificado;AL;11;397;239;0.027707808564231738;0.04602510460251046
Patrimônio médio-alto - veicular diversificado;PE;11;397;572;0.027707808564231738;0.019230769230769232
Patrimônio médio-alto - veicular diversificado;RR;11;397;343;0.027707808564231738;0.03206997084548105
Patrimônio médio-alto - veicular diversificado;PB;10;397;413;0.02518891687657431;0.024213075060532687
Patrimônio médio-alto - veicular diversificado;SE;9;397;322;0.022670025188916875;0.027950310559006212
Patrimônio médio-alto - veicular diversificado;PA;8;397;556;0.020151133501259445;0.014388489208633094
Patrimônio médio-alto - veicular diversificado;MT;7;397;380;0.017632241813602016;0.018421052631578946
Patrimônio médio-alto - veicular diversificado;TO;7;397;411;0.017632241813602016;0.0170316301703163
Patrimônio médio-alto - veicular diversificado;ES;6;397;481;0.015113350125944584;0.012474012474012475
Patrimônio médio-alto - veicular diversificado;AC;5;397;281;0.012594458438287154;0.017793594306049824
Patrimônio médio-alto - veicular diversificado;AP;5;397;267;0.012594458438287154;0.018726591760299626
Patrimônio médio-alto - veicular diversificado;PI;4;397;262;0.010075566750629723;0.015267175572519083
Patrimônio médio-alto - veicular diversificado;RN;3;397;356;0.007556675062972292;0.008426966292134831
Patrimônio médio-baixo - imobiliário + veicular;SP;90;443;2528;0.20316027088036118;0.03560126582278481
Patrimônio médio-baixo - imobiliário + veicular;RS;40;443;975;0.09029345372460497;0.041025641025641026
Patrimônio médio-baixo - imobiliário + veicular;PR;36;443;1154;0.08126410835214447;0.03119584055459272
Patrimônio médio-baixo - imobiliário + veicular;MG;35;443;1668;0.07900677200902935;0.020983213429256596
Patrimônio médio-baixo - imobiliário + veicular;RJ;32;443;1432;0.07223476297968397;0.0223463687150838
Patrimônio médio-baixo - imobiliário + veicular;SC;26;443;752;0.05869074492099323;0.034574468085106384
Patrimônio médio-baixo - imobiliário + veicular;MS;22;443;394;0.04966139954853273;0.05583756345177665
Patrimônio médio-baixo - imobiliário + veicular;CE;17;443;611;0.03837471783295711;0.027823240589198037
Patrimônio médio-baixo - imobiliário + veicular;BA;16;443;999;0.03611738148984198;0.016016016016016016
Patrimônio médio-baixo - imobiliário + veicular;GO;15;443;766;0.033860045146726865;0.0195822454308094
Patrimônio médio-baixo - imobiliário + veicular;RN;15;443;356;0.033860045146726865;0.042134831460674156
Patrimônio médio-baixo - imobiliário + veicular;PE;13;443;572;0.029345372460496615;0.022727272727272728
Patrimônio médio-baixo - imobiliário + veicular;RO;12;443;454;0.02708803611738149;0.02643171806167401
Patrimônio médio-baixo - imobiliário + veicular;PA;9;443;556;0.020316027088036117;0.01618705035971223
Patrimônio médio-baixo - imobiliário + veicular;ES;8;443;481;0.01805869074492099;0.016632016632016633
Patrimônio médio-baixo - imobiliário + veicular;PI;8;443;262;0.01805869074492099;0.030534351145038167
Patrimônio médio-baixo - imobiliário + veicular;SE;8;443;322;0.01805869074492099;0.024844720496894408
