estrato;SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_estrato_uf;eleitos_estrato_uf;taxa_estrato_uf;indice_vs_estrato_uf;delta_pp_vs_estrato_uf;participacao_candidatos_estrato_uf;participacao_eleitos_estrato_uf;patrimonio_mediano_cluster_uf
01_baixo;SP;Baixo patrimônio - veicular concentrado com financeiro e societário;91;2;0.02197802197802198;745;13;0.0174496644295302;1.2595097210481827;0.452835754849178;0.1221476510067114;0.15384615384615385;43850.0
02_medio_baixo;RJ;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;27;2;0.07407407407407407;300;18;0.06;1.2345679012345678;1.4074074074074072;0.09;0.1111111111111111;210396.99
04_alto;SC;Alto patrimônio - imobiliário + financeiro;34;7;0.20588235294117646;203;34;0.16748768472906403;1.2292387543252596;3.8394668212112433;0.16748768472906403;0.20588235294117646;1239574.57
01_baixo;RS;Baixo patrimônio - veicular concentrado com financeiro e societário;39;1;0.02564102564102564;284;6;0.02112676056338028;1.2136752136752136;0.45142650776453586;0.13732394366197184;0.16666666666666666;38188.43
01_baixo;RS;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;118;3;0.025423728813559324;284;6;0.02112676056338028;1.2033898305084747;0.42969682501790424;0.4154929577464789;0.5;35000.0
04_alto;SC;Alto patrimônio - imobiliário + societário com societário e financeiro;55;11;0.2;203;34;0.16748768472906403;1.1941176470588237;3.2512315270935983;0.270935960591133;0.3235294117647059;1796246.12
04_alto;PR;Alto patrimônio - imobiliário + societário com societário e financeiro;68;16;0.23529411764705882;275;57;0.20727272727272728;1.1351909184726523;2.8021390374331547;0.24727272727272728;0.2807017543859649;1228427.865
04_alto;SP;Alto patrimônio - imobiliário + societário com societário e financeiro;200;30;0.15;669;89;0.13303437967115098;1.1275280898876403;1.6965620328849018;0.29895366218236175;0.33707865168539325;1583311.75
04_alto;BA;Alto patrimônio - imobiliário + rural/agropecuário;42;13;0.30952380952380953;220;61;0.2772727272727273;1.1163153786104605;3.225108225108225;0.19090909090909092;0.21311475409836064;1183271.545
04_alto;RS;Alto patrimônio - imobiliário + financeiro;43;9;0.20930232558139536;213;40;0.18779342723004694;1.1145348837209303;2.150889835134842;0.20187793427230047;0.225;1243858.7
04_alto;BA;Alto patrimônio - imobiliário + financeiro;26;8;0.3076923076923077;220;61;0.2772727272727273;1.1097099621689785;3.0419580419580425;0.11818181818181818;0.13114754098360656;1324788.53
03_medio_alto;DF;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;56;4;0.07142857142857142;155;10;0.06451612903225806;1.1071428571428572;0.6912442396313362;0.36129032258064514;0.4;477250.0
02_medio_baixo;MG;Patrimônio médio-baixo - societário + veicular;25;1;0.04;387;14;0.03617571059431524;1.1057142857142859;0.3824289405684758;0.06459948320413436;0.07142857142857142;154000.0
03_medio_alto;SC;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;37;3;0.08108108108108109;204;15;0.07352941176470588;1.1027027027027028;0.75516693163752;0.18137254901960784;0.2;511972.2400000001
03_medio_alto;RJ;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;51;5;0.09803921568627451;303;27;0.0891089108910891;1.1002178649237473;0.8930304795185404;0.16831683168316833;0.18518518518518517;455613.96
04_alto;AM;Alto patrimônio - imobiliário + societário com societário e financeiro;35;8;0.22857142857142856;85;18;0.21176470588235294;1.0793650793650793;1.6806722689075626;0.4117647058823529;0.4444444444444444;1440884.11
02_medio_baixo;CE;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;35;2;0.05714285714285714;150;8;0.05333333333333334;1.0714285714285714;0.38095238095238043;0.23333333333333334;0.25;170000.0
03_medio_alto;RS;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;59;6;0.1016949152542373;236;23;0.09745762711864407;1.0434782608695652;0.4237288135593223;0.25;0.2608695652173913;450000.0
04_alto;PE;Alto patrimônio - imobiliário + societário com societário e financeiro;36;12;0.3333333333333333;124;40;0.3225806451612903;1.0333333333333332;1.0752688172043001;0.2903225806451613;0.3;1336093.83
04_alto;PA;Alto patrimônio - imobiliário + societário com societário e financeiro;44;11;0.25;172;42;0.2441860465116279;1.023809523809524;0.5813953488372103;0.2558139534883721;0.2619047619047619;1266378.88
03_medio_alto;BA;Patrimônio médio-alto - rural/agropecuário + imobiliário;28;3;0.10714285714285714;219;23;0.1050228310502283;1.0201863354037266;0.21200260926288322;0.1278538812785388;0.13043478260869565;435500.0
01_baixo;BA;Baixo patrimônio - imobiliário concentrado;67;1;0.014925373134328358;339;5;0.014749262536873156;1.0119402985074626;0.01761105974552018;0.1976401179941003;0.2;50000.0
04_alto;MA;Alto patrimônio - imobiliário + societário com societário e financeiro;27;7;0.25925925925925924;144;37;0.2569444444444444;1.0090090090090091;0.2314814814814825;0.1875;0.1891891891891892;2010087.55
01_baixo;RJ;Baixo patrimônio - societário concentrado;51;2;0.0392156862745098;510;20;0.0392156862745098;1.0;0.0;0.1;0.1;20000.0
03_medio_alto;MG;Patrimônio médio-alto - rural/agropecuário + imobiliário;46;4;0.08695652173913043;401;35;0.08728179551122195;0.9962732919254658;-0.032527377209151664;0.11471321695760599;0.11428571428571428;501178.125
04_alto;MG;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;40;6;0.15;418;67;0.16028708133971292;0.935820895522388;-1.0287081339712927;0.09569377990430622;0.08955223880597014;1697879.7400000002
04_alto;CE;Alto patrimônio - imobiliário + financeiro;25;6;0.24;136;35;0.25735294117647056;0.9325714285714286;-1.735294117647057;0.18382352941176472;0.17142857142857143;1017229.46
01_baixo;MG;Baixo patrimônio - veicular concentrado com financeiro e societário;40;1;0.025;441;12;0.027210884353741496;0.9187500000000001;-0.2210884353741494;0.09070294784580499;0.08333333333333333;49361.425
01_baixo;SE;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;37;2;0.05405405405405406;84;5;0.05952380952380952;0.9081081081081082;-0.5469755469755464;0.44047619047619047;0.4;25000.0
01_baixo;RO;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;56;1;0.017857142857142856;151;3;0.019867549668874173;0.8988095238095237;-0.20104068117313167;0.3708609271523179;0.3333333333333333;37500.0
02_medio_baixo;RO;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;26;1;0.038461538461538464;89;4;0.0449438202247191;0.8557692307692308;-0.6482281763180636;0.29213483146067415;0.25;169465.5
01_baixo;MG;Baixo patrimônio - imobiliário concentrado;43;1;0.023255813953488372;441;12;0.027210884353741496;0.8546511627906977;-0.3955070400253124;0.09750566893424037;0.08333333333333333;77000.0
04_alto;RN;Alto patrimônio - imobiliário + societário com societário e financeiro;26;7;0.2692307692307692;72;23;0.3194444444444444;0.842809364548495;-5.02136752136752;0.3611111111111111;0.30434782608695654;1390018.3050000002
04_alto;GO;Alto patrimônio - imobiliário + societário com societário e financeiro;45;6;0.13333333333333333;209;34;0.16267942583732056;0.819607843137255;-2.934609250398723;0.215311004784689;0.17647058823529413;1522704.82
04_alto;MG;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;46;6;0.13043478260869565;418;67;0.16028708133971292;0.8137573004542504;-2.9852298731017273;0.11004784688995216;0.08955223880597014;1401000.0
01_baixo;GO;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;78;1;0.01282051282051282;190;3;0.015789473684210527;0.8119658119658119;-0.29689608636977066;0.4105263157894737;0.3333333333333333;31206.0
02_medio_baixo;MG;Patrimônio médio-baixo - imobiliário + veicular;35;1;0.02857142857142857;387;14;0.03617571059431524;0.789795918367347;-0.7604282022886673;0.09043927648578812;0.07142857142857142;214795.71
04_alto;PR;Alto patrimônio - imobiliário + financeiro;49;8;0.16326530612244897;275;57;0.20727272727272728;0.7876834944504116;-4.400742115027831;0.1781818181818182;0.14035087719298245;1314498.81
04_alto;GO;Alto patrimônio - imobiliário + rural/agropecuário;47;6;0.1276595744680851;209;34;0.16267942583732056;0.7847309136420526;-3.5019851369235466;0.22488038277511962;0.17647058823529413;1380000.0
04_alto;SP;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;49;5;0.10204081632653061;669;89;0.13303437967115098;0.7670259114881908;-3.099356334462036;0.07324364723467862;0.056179775280898875;1819848.24
04_alto;RO;Alto patrimônio - imobiliário + rural/agropecuário;27;2;0.07407407407407407;92;9;0.09782608695652174;0.7572016460905349;-2.3752012882447673;0.29347826086956524;0.2222222222222222;1227080.0
04_alto;SP;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;80;8;0.1;669;89;0.13303437967115098;0.751685393258427;-3.303437967115097;0.11958146487294469;0.0898876404494382;1241606.825
04_alto;RJ;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;66;8;0.12121212121212122;309;50;0.16181229773462782;0.7490909090909091;-4.060017652250661;0.21359223300970873;0.16;1250000.0
01_baixo;MS;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;42;1;0.023809523809523808;93;3;0.03225806451612903;0.738095238095238;-0.8448540706605223;0.45161290322580644;0.3333333333333333;28000.0
01_baixo;ES;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;68;2;0.029411764705882353;148;6;0.04054054054054054;0.7254901960784313;-1.112877583465819;0.4594594594594595;0.3333333333333333;37044.0
04_alto;MA;Alto patrimônio - imobiliário + rural/agropecuário;28;5;0.17857142857142858;144;37;0.2569444444444444;0.694980694980695;-7.837301587301584;0.19444444444444445;0.13513513513513514;1508750.0
02_medio_baixo;PB;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;41;1;0.024390243902439025;113;4;0.035398230088495575;0.6890243902439025;-1.1007986186056549;0.36283185840707965;0.25;160000.0
02_medio_baixo;SE;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;27;1;0.037037037037037035;93;5;0.053763440860215055;0.6888888888888889;-1.672640382317802;0.2903225806451613;0.2;200000.0
03_medio_alto;CE;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;26;3;0.11538461538461539;131;22;0.16793893129770993;0.6870629370629371;-5.255431591309454;0.1984732824427481;0.13636363636363635;507500.0
03_medio_alto;RS;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;46;3;0.06521739130434782;236;23;0.09745762711864407;0.6691871455576559;-3.2240235814296248;0.19491525423728814;0.13043478260869565;488404.53
02_medio_baixo;RS;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;56;3;0.05357142857142857;237;19;0.08016877637130802;0.6682330827067668;-2.6597347799879456;0.23628691983122363;0.15789473684210525;201000.0
04_alto;PA;Alto patrimônio - imobiliário + rural/agropecuário;31;5;0.16129032258064516;172;42;0.2441860465116279;0.6605222734254993;-8.289572393098274;0.18023255813953487;0.11904761904761904;1615500.0
03_medio_alto;RR;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;26;3;0.11538461538461539;77;14;0.18181818181818182;0.6346153846153846;-6.643356643356643;0.33766233766233766;0.21428571428571427;451500.0
