variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;SUPERIOR COMPLETO;36;48;0.75
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ENSINO MÉDIO COMPLETO;6;48;0.125
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;SUPERIOR INCOMPLETO;4;48;0.08333333333333333
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ENSINO FUNDAMENTAL INCOMPLETO;2;48;0.041666666666666664
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;SUPERIOR COMPLETO;12;13;0.9230769230769231
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;SUPERIOR INCOMPLETO;1;13;0.07692307692307693
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;DEPUTADO;64;141;0.45390070921985815
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;EMPRESÁRIO;22;141;0.15602836879432624
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ADVOGADO;19;141;0.1347517730496454
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;MÉDICO;14;141;0.09929078014184398
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ADMINISTRADOR;6;141;0.0425531914893617
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ENGENHEIRO;4;141;0.028368794326241134
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;COMERCIANTE;2;141;0.014184397163120567
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PRODUTOR AGROPECUÁRIO;2;141;0.014184397163120567
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;BOMBEIRO MILITAR;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ENFERMEIRO;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;GOVERNADOR;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;JORNALISTA E REDATOR;1;141;0.0070921985815602835
