perfil_cluster;DS_CARGO;candidatos_cluster_cargo;candidatos_cluster_total;candidatos_cargo;perc_cargo_no_cluster;perc_cluster_no_cargo
Patrimônio médio-baixo - veicular + financeiro;DEPUTADO FEDERAL;121;360;6772;0.33611111111111114;0.017867690490253985
Patrimônio médio-baixo - veicular + financeiro;DEPUTADO DISTRITAL;11;360;394;0.030555555555555555;0.027918781725888325
Patrimônio médio-baixo - veicular + financeiro;SENADOR;6;360;213;0.016666666666666666;0.028169014084507043
Patrimônio médio-baixo - veicular + financeiro;VICE-GOVERNADOR;6;360;189;0.016666666666666666;0.031746031746031744
Patrimônio médio-baixo - veicular + financeiro;2º SUPLENTE;5;360;184;0.013888888888888888;0.02717391304347826
Patrimônio médio-baixo - veicular + financeiro;GOVERNADOR;4;360;193;0.011111111111111112;0.02072538860103627
Patrimônio médio-baixo - veicular + financeiro;1º SUPLENTE;3;360;194;0.008333333333333333;0.015463917525773196
Patrimônio médio-baixo - veicular concentrado;DEPUTADO ESTADUAL;225;364;10056;0.6181318681318682;0.02237470167064439
Patrimônio médio-baixo - veicular concentrado;DEPUTADO FEDERAL;121;364;6772;0.3324175824175824;0.017867690490253985
Patrimônio médio-baixo - veicular concentrado;DEPUTADO DISTRITAL;10;364;394;0.027472527472527472;0.025380710659898477
Patrimônio médio-baixo - veicular concentrado;1º SUPLENTE;5;364;194;0.013736263736263736;0.02577319587628866
Patrimônio médio-baixo - veicular concentrado;2º SUPLENTE;1;364;184;0.0027472527472527475;0.005434782608695652
Patrimônio médio-baixo - veicular concentrado;GOVERNADOR;1;364;193;0.0027472527472527475;0.0051813471502590676
Patrimônio médio-baixo - veicular concentrado;VICE-GOVERNADOR;1;364;189;0.0027472527472527475;0.005291005291005291
Patrimônio ultra-alto - créditos e direitos diversificado;DEPUTADO FEDERAL;10;23;6772;0.43478260869565216;0.0014766686355581807
Patrimônio ultra-alto - créditos e direitos diversificado;DEPUTADO ESTADUAL;8;23;10056;0.34782608695652173;0.0007955449482895784
Patrimônio ultra-alto - créditos e direitos diversificado;1º SUPLENTE;2;23;194;0.08695652173913043;0.010309278350515464
Patrimônio ultra-alto - créditos e direitos diversificado;VICE-GOVERNADOR;2;23;189;0.08695652173913043;0.010582010582010581
Patrimônio ultra-alto - créditos e direitos diversificado;SENADOR;1;23;213;0.043478260869565216;0.004694835680751174
Patrimônio ultra-alto - financeiro + societário;DEPUTADO FEDERAL;12;37;6772;0.32432432432432434;0.0017720023626698169
Patrimônio ultra-alto - financeiro + societário;1º SUPLENTE;8;37;194;0.21621621621621623;0.041237113402061855
Patrimônio ultra-alto - financeiro + societário;DEPUTADO ESTADUAL;8;37;10056;0.21621621621621623;0.0007955449482895784
Patrimônio ultra-alto - financeiro + societário;GOVERNADOR;3;37;193;0.08108108108108109;0.015544041450777202
Patrimônio ultra-alto - financeiro + societário;VICE-GOVERNADOR;3;37;189;0.08108108108108109;0.015873015873015872
Patrimônio ultra-alto - financeiro + societário;SENADOR;2;37;213;0.05405405405405406;0.009389671361502348
Patrimônio ultra-alto - financeiro + societário;2º SUPLENTE;1;37;184;0.02702702702702703;0.005434782608695652
Patrimônio ultra-alto - imobiliário + outros ativos;DEPUTADO FEDERAL;12;26;6772;0.46153846153846156;0.0017720023626698169
Patrimônio ultra-alto - imobiliário + outros ativos;DEPUTADO ESTADUAL;8;26;10056;0.3076923076923077;0.0007955449482895784
Patrimônio ultra-alto - imobiliário + outros ativos;1º SUPLENTE;2;26;194;0.07692307692307693;0.010309278350515464
Patrimônio ultra-alto - imobiliário + outros ativos;2º SUPLENTE;2;26;184;0.07692307692307693;0.010869565217391304
Patrimônio ultra-alto - imobiliário + outros ativos;DEPUTADO DISTRITAL;1;26;394;0.038461538461538464;0.0025380710659898475
Patrimônio ultra-alto - imobiliário + outros ativos;SENADOR;1;26;213;0.038461538461538464;0.004694835680751174
Patrimônio ultra-alto - rural/agropecuário concentrado;DEPUTADO ESTADUAL;20;46;10056;0.43478260869565216;0.001988862370723946
Patrimônio ultra-alto - rural/agropecuário concentrado;DEPUTADO FEDERAL;17;46;6772;0.3695652173913043;0.0025103366804489075
Patrimônio ultra-alto - rural/agropecuário concentrado;1º SUPLENTE;3;46;194;0.06521739130434782;0.015463917525773196
Patrimônio ultra-alto - rural/agropecuário concentrado;2º SUPLENTE;3;46;184;0.06521739130434782;0.016304347826086956
Patrimônio ultra-alto - rural/agropecuário concentrado;GOVERNADOR;3;46;193;0.06521739130434782;0.015544041450777202
Patrimônio ultra-alto - societário concentrado;DEPUTADO FEDERAL;22;57;6772;0.38596491228070173;0.0032486709982279976
Patrimônio ultra-alto - societário concentrado;DEPUTADO ESTADUAL;15;57;10056;0.2631578947368421;0.0014916467780429594
Patrimônio ultra-alto - societário concentrado;GOVERNADOR;8;57;193;0.14035087719298245;0.04145077720207254
Patrimônio ultra-alto - societário concentrado;1º SUPLENTE;4;57;194;0.07017543859649122;0.020618556701030927
Patrimônio ultra-alto - societário concentrado;2º SUPLENTE;3;57;184;0.05263157894736842;0.016304347826086956
Patrimônio ultra-alto - societário concentrado;SENADOR;3;57;213;0.05263157894736842;0.014084507042253521
Patrimônio ultra-alto - societário concentrado;PRESIDENTE;2;57;13;0.03508771929824561;0.15384615384615385
