estrato_final;cluster_final_codigo;perfil_patrimonial_final;n_candidatos;patrimonio_mediano;patrimonio_medio;patrimonio_p25;patrimonio_p75;qtd_bens_mediana;qtd_bens_media;qtd_macros_media;concentracao_media
Baixo patrimônio;baixo_k8_c2;Baixo patrimônio - societário concentrado;343;200000.0;357709.74;99000.0;600000.0;1.0;1.4;1.19;0.95
Baixo patrimônio;baixo_k8_c4;Baixo patrimônio - rural agropecuário veicular;88;629880.0;618185.23;414900.0;835000.0;2.0;2.2;1.82;0.75
Baixo patrimônio;baixo_k8_c5;Baixo patrimônio - créditos direitos financeiro;52;509355.5;465352.42;143353.0;728088.0;2.0;2.75;2.12;0.71
Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular;2239;3350000.0;3898538.79;2100000.0;5225500.0;3.0;2.92;2.09;0.73
Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos;1750;2800000.0;3468453.72;1800000.0;4508892.0;1.0;1.58;1.18;0.98
Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro;944;4449166.0;4803598.35;2730000.25;6728727.0;4.0;5.0;3.0;0.59
Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto;652;4576506.5;4945881.4;2867125.0;6820802.5;5.0;6.09;3.49;0.53
Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado;521;1748084.0;2457901.19;1294000.0;2858160.0;2.0;2.55;1.48;0.89
Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário;499;5439900.0;5441071.68;3393571.0;7444160.0;5.0;5.63;3.44;0.47
Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado;498;2601391.0;3515849.35;1645650.0;4780652.0;3.0;3.77;1.85;0.79
Patrimônio intermediário;intermediario_k10_c4;Patrimônio intermediário - societário concentrado;361;2345960.0;3284543.28;1510000.0;4379266.0;3.0;3.07;1.91;0.76
Patrimônio intermediário;intermediario_k10_c3;Patrimônio intermediário - créditos direitos misto;282;4542670.5;4900636.05;2705071.0;6760762.5;5.0;5.63;3.42;0.55
Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado;224;3364580.0;4042382.86;1947250.0;5962500.0;2.0;2.53;1.9;0.79
Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário;330;174298679.0;306053305.39;125642570.75;290943165.75;14.0;17.62;4.08;0.7
Ultra-alto patrimônio;ultra_k7_c0;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário;172;182120332.0;424951428.35;133098288.25;304618461.0;23.0;26.73;5.83;0.6
Ultra-alto patrimônio;ultra_k7_c3;Ultra alto patrimônio - créditos direitos misto;112;261137176.5;995906242.84;140923265.0;706261388.0;20.0;25.39;5.74;0.48
Ultra-alto patrimônio;ultra_k7_c1;Ultra alto patrimônio - rural agropecuário imobiliário;104;176628293.5;356346235.36;132416702.5;281509429.5;17.0;20.66;4.33;0.58
Ultra-alto patrimônio;ultra_k7_c6;Ultra alto patrimônio - imobiliário misto;93;206173452.0;466508901.48;140266116.0;481818015.0;21.0;26.29;5.18;0.54
Ultra-alto patrimônio;ultra_k7_c5;Ultra alto patrimônio - societário concentrado;76;291240263.5;3371487287.24;146774216.5;751973798.75;11.5;17.79;4.03;0.72
Ultra-alto patrimônio;ultra_k7_c4;Ultra alto patrimônio - imobiliário concentrado;72;161368476.0;195243932.17;131102897.75;215801298.25;7.0;8.24;2.71;0.9
