SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;patrimonio_total;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;log_patrimonio_total;log_qtd_bens;SG_UF;log_valor_ativos_financeiros;log_valor_bens_luxo_colecao;log_valor_creditos_direitos;log_valor_dinheiro_especie;log_valor_direitos_intangiveis;log_valor_imoveis;log_valor_outros;log_valor_outros_atividade_profissional;log_valor_participacoes_societarias;log_valor_rural_agropecuario;log_valor_veiculos;estrato_base;subestrato_alto;estrato_final;cluster_final_codigo;perfil_patrimonial_final
220001609510;4200000;0;0;0;0;0;0;0;1500000;0;0;5700000;0.7368421052631579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2631578947368421;0.0;0.0;2;2;0.6121883656509695;15.55597690824336;1.0986122886681096;RO;15.250595321348806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.220976332738882;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
220001609511;0;0;0;0;0;10100000;0;0;0;0;0;10100000;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4;1;1.0;16.128046080821385;1.6094379124341005;RO;0.0;0.0;0.0;0.0;0.0;16.128046080821385;0.0;0.0;0.0;0.0;0.0;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
220001609936;17081334;0;0;0;0;5500000;3170000;0;0;0;60000;25811334;0.6617764893515383;0.0;0.0;0.0;0.0;0.2130846859755485;0.1228142644622707;0.0;0.0;0.0;0.0023245602106423;9;4;0.4984419523913264;17.06632429449508;2.302585092994046;RO;16.653496904862745;0.0;0.0;0.0;0.0;15.520258832020865;14.969242461310827;0.0;0.0;0.0;11.002116507732017;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
220001612145;0;0;0;0;0;0;0;0;0;0;970000;970000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;13.785052381406867;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.785052381406869;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
220001612146;0;0;0;0;0;0;0;0;0;0;70000;70000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;11.156264806643742;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.156264806643742;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
220001612147;5668;0;47087;0;0;1250000;0;0;0;0;0;1302755;0.0043507796938027;0.0;0.0361441713906298;0.0;0.0;0.9595050489155674;0.0;0.0;0.0;0.0;0.0;6;3;0.9219752693039248;14.079992578402766;1.9459101490553128;RO;8.642768014324304;0.0;10.759773470473254;0.0;0.0;14.038654909278163;0.0;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c3;Patrimônio intermediário - créditos direitos misto
220001612148;0;0;0;0;0;0;0;1000000;0;7000000;285000;8285000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1207000603500301;0.0;0.8449004224502112;0.0343995171997586;4;3;0.7296085552086228;15.929957329542852;1.6094379124341005;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.815511557963774;0.0;15.76142084987672;12.560247968016562;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado
220001612149;1000000;0;0;105000;0;1200000;0;0;0;0;2800000;5105000;0.1958863858961802;0.0;0.0;0.0205680705190989;0.0;0.2350636630754162;0.0;0.0;0.0;0.0;0.5484818805093046;5;4;0.3948818206498017;15.44573120546727;1.791759469228055;RO;13.815511557963774;0.0;0.0;11.561725152903833;0.0;13.997832948091215;0.0;0.0;0.0;0.0;14.845130332288226;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c6;Patrimônio intermediário - imobiliário financeiro
220001612150;5515869;0;0;0;0;6293;0;0;0;0;730000;6252162;0.8822338576639569;0.0;0.0;0.0;0.0;0.0010065318205126;0.0;0.0;0.0;0.0;0.1167596105155304;4;3;0.7919703993626711;15.648438041840716;1.6094379124341005;RO;15.52313994981485;0.0;0.0;0.0;0.0;8.747352077624353;0.0;0.0;0.0;0.0;13.500801182986649;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
220001612152;0;0;0;0;0;1600000;0;0;0;0;330000;1930000;0.0;0.0;0.0;0.0;0.0;0.8290155440414507;0.0;0.0;0.0;0.0;0.1709844559585492;2;2;0.7165024564417837;14.47303107901565;1.0986122886681096;RO;0.0;0.0;0.0;0.0;0.0;14.285514812209815;0.0;0.0;0.0;0.0;12.706850963741102;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
220001612154;0;0;2514073;0;0;2940000;1452000;0;0;0;0;6906073;0.0;0.0;0.3640379995983245;0.0;0.0;0.425712268028444;0.2102497323732315;0.0;0.0;0.0;0.0;4;3;0.357959550264487;15.747911872194678;1.6094379124341005;RO;0.0;0.0;14.73741510286221;0.0;0.0;14.89392047945086;14.188453163071875;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c3;Patrimônio intermediário - créditos direitos misto
220001612155;0;0;0;0;0;5259368;139680;0;0;12278010;1478000;19155058;0.0;0.0;0.0;0.0;0.0;0.2745681062411818;0.0072920687580272;0.0;0.0;0.6409800481940593;0.0771597768067316;13;4;0.4922498725713639;16.768077416247877;2.639057329615259;RO;0.0;0.0;0.0;0.0;0.0;15.475521615540693;11.84711653026888;0.0;0.0;16.323320496880562;14.206201057080042;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
220001612156;4613125;0;0;0;0;704361;0;0;0;195000;1830000;7342486;0.6282783515011129;0.0;0.0;0.0;0.0;0.0959294985376887;0.0;0.0;0.0;0.0265577625888561;0.2492343873723422;10;4;0.4667592502572412;15.809188171539216;2.3978952727983707;RO;15.344416276279226;0.0;0.0;0.0;0.0;13.465047707527779;0.0;0.0;0.0;12.180759965737863;14.419827071265543;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
220001612157;117209;0;0;0;0;19980717;0;0;0;0;0;20097926;0.0058318952910862;0.0;0.0;0.0;0.0;0.9941681047089136;0.0;0.0;0.0;0.0;0.0;5;2;0.9884042314231998;16.816127233382236;1.791759469228055;RO;11.671722476717227;0.0;0.0;0.0;0.0;16.81027826647494;0.0;0.0;0.0;0.0;0.0;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado
220001612158;0;0;0;0;0;0;0;0;0;0;250000;250000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;12.429220196836384;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.429220196836383;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
220001612160;0;0;0;0;0;0;0;0;0;5000000;0;5000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;1;1.0;15.424948670398354;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.424948670398354;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado
220001612161;5387666;0;0;0;0;85074885;0;0;700000;866600;4230000;96259151;0.0559704292426181;0.0;0.0;0.0;0.0;0.8838108804844954;0.0;0.0;0.0072720358815547;0.0090027804213648;0.0439438739699667;10;5;0.7863193580330483;18.382554612326093;2.3978952727983707;RO;15.499623010593536;0.0;0.0;0.0;0.0;18.25904243835622;0.0;0.0;13.45883704259595;13.672333942222199;15.257712787429051;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
220001614361;69528868;0;0;0;0;26225190;0;0;63838650;0;11395000;170987708;0.4066307971096963;0.0;0.0;0.0;0.0;0.1533747092510299;0.0;0.0;0.3733522762934514;0.0;0.0666422173458223;15;4;0.3327055139421745;18.957102234690662;2.772588722239781;RO;18.057252605583056;0.0;0.0;0.0;0.0;17.0822309953469;0.0;0.0;17.971869379930183;0.0;16.248685308419706;Alto patrimônio;Ultra-alto patrimônio;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
220001614362;3719937230;0;1000000;0;0;339584;0;0;1322612142;753608973;0;5797497929;0.6416452882876054;0.0;0.000172488203057;0.0;0.0;5.857423394691479e-05;0.0;0.0;0.228134991714975;0.1299886575604156;0.0;70;5;0.480651334703956;22.480692270043445;4.262679877041316;RO;22.036972631702014;0.0;13.815511557963774;0.0;0.0;12.735479562832516;0.0;0.0;21.002874514321014;20.440384189329624;0.0;Alto patrimônio;Ultra-alto patrimônio;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
220001614363;1480982256;0;0;0;0;92117702;2000;0;278675838;1500000;6300000;1859577796;0.7964077970739547;0.0;0.0;0.0;0.0;0.0495368906846207;1.0755129493920888e-06;0.0;0.1498597362258459;0.000806634712044;0.003387865790585;19;6;0.6591893516159002;21.34361530804498;2.995732273553991;RO;21.11597139174167;0.0;0.0;0.0;0.0;18.338577697738316;7.601402334583733;0.0;19.44555979691095;14.220976332738882;15.656060350091908;Alto patrimônio;Ultra-alto patrimônio;Ultra-alto patrimônio;ultra_k7_c2;Ultra alto patrimônio - imobiliário financeiro com societário
220001614393;0;0;0;0;0;4600000;0;0;0;1500000;680000;6780000;0.0;0.0;0.0;0.0;0.0;0.6784660766961652;0.0;0.0;0.0;0.2212389380530973;0.1002949852507374;7;3;0.5193219690047945;15.729487807409193;2.079441541679836;RO;0.0;0.0;0.0;0.0;0.0;15.341567078850604;0.0;0.0;0.0;14.220976332738882;13.429849547739444;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
220001614394;0;0;0;300000;0;8000000;0;0;425000;0;240000;8965000;0.0;0.0;0.0;0.0334634690462911;0.0;0.8923591745677635;0.0;0.0;0.0474065811489124;0.0;0.0267707752370329;7;4;0.8003887585388922;16.00883877656626;2.079441541679836;RO;0.0;0.0;0.0;12.611541086966115;0.0;15.894952224644102;0.0;0.0;12.959846800844963;0.0;12.388398368982115;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
220001614397;0;0;0;0;0;0;514800;0;0;0;0;514800;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1;1;1.0;13.151535697204164;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;13.151535697204164;0.0;0.0;0.0;0.0;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos
220001614398;1069485;0;1750000;0;0;3900000;4039302;0;176791;3750000;700000;15385578;0.0695121756231712;0.0;0.1137428831078039;0.0;0.0;0.2534841394973916;0.2625382029846392;0.0;0.0114906960271495;0.2437347495167227;0.0454971532431215;11;7;0.2125585581910749;16.548941200089285;2.4849066497880004;RO;13.88268871718984;0.0;14.375126917328105;0.0;0.0;15.176487367510099;15.21158271030075;0.0;12.08272917929314;15.137266664613225;13.45883704259595;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
220001614399;0;0;0;0;0;10000000;0;0;0;18000000;850000;28850000;0.0;0.0;0.0;0.0;0.0;0.3466204506065858;0.0;0.0;0.0;0.6239168110918544;0.0294627383015597;4;3;0.5102859768899675;17.177620585580428;1.6094379124341005;RO;0.0;0.0;0.0;0.0;0.0;16.118095750958314;0.0;0.0;0.0;16.705882371415992;13.652992804936396;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
220001614400;100000;0;0;0;0;0;0;0;0;0;0;100000;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;11.51293546492023;0.6931471805599453;RO;11.51293546492023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado
220001614401;0;0;0;0;0;0;0;0;0;0;202200;202200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;12.217017531154696;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.217017531154696;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
220001614402;5634868;0;1555083;598750;0;3066250;0;0;0;3611460;1037320;15503731;0.3634523844615209;0.0;0.1003037913906014;0.0386197361138425;0.0;0.1977749742948971;0.0;0.0;0.0;0.2329413481180755;0.0669077656210624;8;6;0.241503231576414;16.556591327101568;2.19722457733622;RO;15.544484457625892;0.0;14.257040121429087;13.302601097852005;0.0;14.935966200686051;0.0;0.0;0.0;15.099622957577683;13.852151986081475;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado
220001614403;0;0;0;0;0;1000000;0;0;0;13250000;1600000;15850000;0.0;0.0;0.0;0.0;0.0;0.0630914826498422;0.0;0.0;0.0;0.8359621451104101;0.1009463722397476;5;3;0.7130034133089194;16.578680121379044;1.791759469228055;RO;0.0;0.0;0.0;0.0;0.0;13.815511557963774;0.0;0.0;0.0;16.3995081858682;14.285514812209815;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
220001614404;0;0;0;0;0;1000000;0;0;0;0;0;1000000;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;13.815511557963774;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;13.815511557963774;0.0;0.0;0.0;0.0;0.0;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
220001614405;0;0;0;0;0;0;0;0;0;0;680000;680000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;13.429849547739444;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.429849547739444;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
