SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total
10001601531;0.0;0.0;0.0;0.0;0.0;350000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;350000.0
10001601532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;55000.0
10001601533;0.0;0.0;0.0;0.0;0.0;150000.0;0.0;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.625;0.0;2;2;0.53125;400000.0
10001601536;0.0;0.0;0.0;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0;0.8620689655172413;0.0;0.0;0.0;0.0;0.13793103448275862;2;2;0.7621878715814505;290000.0
10001601537;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;3000.0;0.0;96000.0;0.0;0.0;0.0;0.0;0.0;0.8016032064128257;0.0;0.0;0.006012024048096192;0.0;0.19238476953907815;3;3;0.6796157445150823;499000.0
10001601539;0.0;0.0;0.0;0.0;0.0;410000.0;0.0;0.0;0.0;0.0;26000.0;0.0;0.0;0.0;0.0;0.0;0.9403669724770642;0.0;0.0;0.0;0.0;0.05963302752293578;2;2;0.8878461408972309;436000.0
10001601556;0.0;0.0;104105.01000000001;0.0;0.0;1040619.5800000001;0.0;0.0;19800.0;2252500.0;327000.0;0.0;0.0;0.027805642697448205;0.0;0.0;0.2779414384134694;0.0;0.0;0.005288426804910489;0.6016253221242867;0.08733916995988533;22;5;0.4476337232416709;3744024.59
10001601557;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;279000.0;300000.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.22753128555176336;0.0;0.0;0.3174061433447099;0.3412969283276451;0.11376564277588168;4;4;0.2819433604998958;879000.0
10001601614;0.0;0.0;0.0;0.0;0.0;118000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;118000.0
10001601615;9870.4;0.0;3428.9700000000003;0.0;0.0;270000.0;0.0;0.0;94117.0;72368.99;174000.0;0.015823391558916995;0.0;0.005497035069883654;0.0;0.0;0.43284119396453935;0.0;0.0;0.1508804246383724;0.11601585199114003;0.2789421027771476;9;6;0.3016653734616568;623785.36
10001601616;0.0;0.0;0.0;0.0;0.0;650000.0;0.0;0.0;0.0;0.0;148060.0;0.0;0.0;0.0;0.0;0.0;0.8144751021226474;0.0;0.0;0.0;0.0;0.18552489787735257;2;2;0.697789179710099;798060.0
10001606197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;48000.0
10001606199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;800000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;1;1.0;800000.0
