SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total;estrato;perfil_cluster
210001611156;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;31500.0;0.0;150000.0;0.0;0.0;0.0;0.0;0.0;0.6878761822871883;0.0;0.0;0.054170249355116;0.0;0.2579535683576956;4;3;0.5426481015016609;581500.0;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
210001611157;0.0;0.0;0.0;0.0;0.0;139650.0;0.0;0.0;0.0;0.0;56980.3;0.0;0.0;0.0;0.0;0.0;0.7102160755488854;0.0;0.0;0.0;0.0;0.2897839244511146;2;2;0.5883815968383495;196630.3;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário
210001611160;0.0;0.0;0.0;0.0;0.0;92758.61;0.0;0.0;247000.0;0.0;120000.0;0.0;0.0;0.0;0.0;0.0;0.2017550253164372;0.0;0.0;0.5372384434518801;0.0;0.2610065312316826;4;3;0.3974546447086305;459758.61;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
210001611161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;113.5;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611163;0.0;0.0;0.0;0.0;0.0;360000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;360000.0;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie
210001611165;0.0;0.0;0.0;0.0;0.0;190000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;190000.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie
210001611166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;23000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;32000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;8000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;33000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;49000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611171;5568.87;0.0;0.0;50000.0;0.0;340000.0;0.0;0.0;3528.0;0.0;90900.0;0.0113651134138877;0.0;0.0;0.1020414681424393;0.0;0.6938819833685876;0.0;0.0;0.0072000459921305;0.0;0.1855113890829547;7;5;0.5264801500088762;489996.87;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
210001611172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;46400.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001611173;0.0;0.0;30000.0;27000.0;0.0;305052.11000000004;0.0;0.0;283733.64;288750.0;147500.0;0.0;0.0;0.027725516462834;0.0249529648165506;0.0;0.2819242432609089;0.0;0.0;0.2622220568959944;0.2668580959547778;0.1363171226089341;14;6;0.2394286420702577;1082035.75;04_alto;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário
210001611174;13160.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;13160.41;01_baixo;Baixo patrimônio - financeiro concentrado
210001611175;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;18000.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.8968609865470852;0.0;0.0;0.0807174887892376;0.0;0.0224215246636771;3;3;0.8113776669548955;223000.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário
210001611177;5000.0;0.0;0.0;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;20100.0;0.0181752090149036;0.0;0.0;0.0;0.0;0.9087604507451836;0.0;0.0;0.0;0.0;0.0730643402399127;4;3;0.8315142928760183;275100.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário + veicular
